avg_gpu_utilization,avg_memory_utilization
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.03
0.25,1.19
0.00,1.23
0.00,1.53
10.50,2.32
2.75,27.36
5.00,27.36
9.00,27.36
8.00,27.36
8.00,27.36
7.50,27.36
8.00,27.36
7.50,27.36
9.50,27.36
9.25,27.36
7.75,27.36
7.75,27.36
8.00,27.36
8.00,27.36
6.75,27.36
7.75,27.36
8.00,27.36
6.25,27.36
7.75,27.36
8.50,27.36
6.25,27.36
8.50,27.36
7.75,27.36
5.75,27.36
1.50,27.36
3.25,27.73
0.00,28.10
0.00,28.44
12.25,30.26
100.00,30.26
100.00,30.26
0.00,67.54
0.00,86.58
0.00,92.29
33.75,92.31
58.00,92.67
24.75,92.67
67.50,92.67
9.25,92.67
81.00,92.67
0.00,92.67
68.25,92.67
0.75,92.67
59.50,92.67
31.75,92.67
69.75,92.67
23.25,92.67
94.25,92.67
71.75,92.67
63.25,92.68
0.00,92.68
55.75,92.68
25.50,92.68
68.75,92.68
64.00,92.68
71.75,92.68
8.00,92.68
70.75,92.68
0.00,92.68
31.25,87.01
5.75,83.43
32.25,75.03
5.75,71.29
32.00,68.65
12.25,68.65
66.50,68.65
0.00,68.65
46.00,68.65
0.00,68.65
0.00,68.68
62.00,69.17
69.50,69.22
67.50,69.41
64.50,69.84
67.25,69.88
60.25,70.18
74.75,79.05
69.75,96.01
72.00,96.01
67.25,96.01
74.75,96.01
66.25,96.01
67.75,96.01
74.25,96.01
74.25,96.01
71.25,96.01
66.25,96.01
72.50,96.01
70.00,96.01
74.50,96.01
69.50,96.01
67.75,96.01
72.25,96.01
73.25,96.01
70.00,96.01
2.50,96.29
40.75,62.51
50.00,28.23
85.00,30.39
0.00,80.30
43.75,92.43
0.00,92.77
72.25,92.79
5.50,92.79
64.50,92.79
0.00,92.79
66.75,92.79
6.00,92.79
62.25,92.79
0.00,92.79
72.50,92.79
4.25,92.79
86.25,92.79
67.50,92.69
67.50,92.69
68.00,92.69
71.25,92.69
64.75,92.69
71.50,92.69
73.00,92.69
65.25,92.69
71.50,92.69
66.25,92.69
74.75,92.69
