elapsed_time,tokens_generated
1.870871,1
2.011589,3
2.138009,6
2.259950,10
2.328185,14
2.385526,18
2.441741,22
2.514928,26
2.650015,31
2.724258,36
2.797866,41
2.860998,46
2.932236,51
3.005822,56
4.345712,62
4.718401,69
5.136232,77
5.290668,86
6.747568,96
6.871657,107
7.006875,119
7.131928,132
7.258931,146
7.319701,160
7.381526,174
7.449256,188
7.524835,202
7.662516,217
7.738139,232
7.810725,247
7.868588,262
7.952051,277
8.027616,292
9.308147,308
9.436249,325
9.573339,343
9.711243,362
9.783849,381
9.849547,400
9.907546,419
9.980790,438
10.055537,457
10.182871,477
10.256967,497
10.328226,517
10.386215,537
10.461677,557
10.537078,577
11.908324,598
12.046779,620
12.188222,643
12.327525,667
12.387243,691
12.451778,715
12.509716,739
12.646686,764
12.720424,789
12.793280,814
12.853307,839
12.924504,864
12.996586,889
13.070845,914
14.327112,940
14.471017,967
14.610125,995
14.748360,1024
14.808458,1053
14.876062,1082
14.934994,1111
15.007298,1140
15.142392,1170
15.217912,1200
15.292577,1230
15.353228,1260
15.425278,1290
15.498362,1320
15.574466,1350
