elapsed_time,tokens_generated
1.868200,1
2.004107,3
2.122960,6
2.247725,10
2.309922,14
2.367322,18
2.434259,22
2.507095,26
2.639708,31
2.713244,36
2.782053,41
2.846030,46
2.920527,51
2.990054,56
3.046084,61
4.337209,67
4.470716,74
4.588565,82
4.721003,91
4.777812,100
4.849369,109
4.906474,118
4.971555,127
5.043191,136
5.164085,146
5.236347,156
5.309643,166
5.379018,176
5.450947,186
5.525191,196
6.867793,207
6.999130,219
7.117052,232
7.238099,246
7.305282,260
7.364630,274
7.424716,288
7.495288,302
7.566024,316
7.699022,331
7.771352,346
7.845769,361
7.904138,376
7.975227,391
8.037341,406
9.292296,422
9.410079,439
9.528846,457
9.669590,476
9.728417,495
9.777696,514
9.836286,533
9.902342,552
9.962099,571
10.033000,590
10.153492,610
10.223788,630
10.292653,650
10.355259,670
10.427108,690
10.497436,710
10.571272,730
11.894609,751
12.029287,773
12.161772,796
12.278711,820
12.336912,844
12.394659,868
12.433096,892
12.504494,916
12.633565,941
12.674058,966
12.745260,991
12.803256,1016
12.853306,1041
12.924381,1066
12.994108,1091
13.051303,1116
14.374258,1142
14.508142,1169
14.624418,1197
14.760097,1226
14.818699,1255
14.873436,1284
14.931851,1313
15.001776,1342
15.125769,1372
15.200029,1402
15.271370,1432
15.324332,1462
15.399288,1492
15.468820,1522
15.525068,1552
16.920620,1583
17.052647,1615
17.171800,1648
17.305144,1682
17.364181,1716
17.416112,1750
17.476609,1784
17.544824,1818
17.668752,1853
17.742289,1888
17.813696,1923
17.866585,1958
17.938823,1993
18.011547,2028
19.462074,2064
19.956279,2101
20.449430,2139
22.007961,2178
22.142813,2218
22.275260,2259
22.394519,2301
22.531120,2344
22.677593,2388
22.795931,2433
22.857306,2478
22.920144,2523
22.967169,2568
23.041501,2613
24.461607,2659
24.583672,2706
24.719520,2754
24.857964,2803
24.912446,2852
24.971850,2901
25.036925,2950
25.207225,3000
25.280132,3050
25.352060,3100
25.410304,3150
25.484685,3200
25.561486,3250
26.961075,3301
27.101628,3353
27.238978,3406
27.369567,3460
27.431144,3514
27.490369,3568
27.547772,3622
27.687544,3677
27.763958,3732
27.844010,3787
27.905588,3842
27.979737,3897
28.056426,3952
29.591084,4008
29.728115,4065
29.846530,4123
29.988333,4182
30.057236,4241
30.233990,4301
30.295845,4361
30.376616,4421
30.437528,4481
30.516961,4541
32.083857,4602
32.220861,4664
32.358844,4727
32.496954,4791
32.570291,4855
32.738256,4920
32.801140,4985
32.880128,5050
32.941824,5115
33.017292,5180
34.635572,5246
34.780731,5313
34.923643,5381
35.231837,5450
35.526409,5520
37.236657,5591
37.381830,5663
37.457280,5735
37.523134,5807
37.598500,5879
37.680396,5951
37.767917,6023
37.848998,6095
37.926724,6167
38.007314,6239
38.090228,6311
38.171801,6383
38.249971,6455
38.331724,6527
38.413296,6599
38.495036,6671
38.579203,6743
38.657269,6815
38.736051,6887
38.816082,6959
38.898502,7031
38.981525,7103
39.063625,7175
39.146794,7247
39.229329,7319
39.315392,7391
39.398459,7463
39.482462,7535
39.564516,7607
39.648137,7679
39.728160,7751
39.812044,7823
39.894951,7895
39.973419,7967
40.051492,8039
40.122418,8111
40.211538,8183
40.317755,8255
40.386060,8327
40.464721,8399
40.543304,8471
40.616019,8543
40.699745,8615
40.778608,8687
40.850770,8759
40.932649,8831
41.015920,8903
41.085259,8975
41.164246,9047
41.243041,9119
41.317157,9191
41.397053,9263
41.474510,9335
41.543939,9407
41.626351,9479
41.708917,9551
41.777649,9623
41.857195,9695
41.937394,9767
42.008600,9839
42.087540,9911
42.165625,9983
42.240064,10055
42.323523,10127
42.402233,10199
42.472531,10271
42.552781,10343
42.633986,10415
42.717618,10487
42.796346,10559
42.875301,10631
42.955736,10703
43.042261,10775
43.127546,10847
43.207071,10919
43.284853,10991
43.365242,11063
43.446347,11135
43.528436,11207
43.612697,11279
43.687027,11351
43.766978,11423
43.849759,11495
43.931986,11567
44.011407,11639
44.090325,11711
44.169375,11783
44.251929,11855
44.335093,11927
44.413389,11999
44.492465,12071
44.573178,12143
44.654847,12215
44.738474,12287
44.817661,12359
44.896413,12431
44.976731,12503
45.060517,12575
45.143346,12647
45.222921,12719
45.301771,12791
45.381247,12863
45.463361,12935
45.546375,13007
45.625524,13079
45.705258,13151
45.785120,13223
45.866528,13295
45.947725,13367
46.024721,13439
46.102272,13511
46.184083,13583
46.267681,13655
46.347487,13727
46.425351,13799
46.503459,13871
46.586255,13943
46.674673,14015
46.757272,14087
46.841285,14159
46.918953,14231
47.000711,14303
47.087750,14375
47.171280,14447
47.247796,14519
47.326155,14591
47.405446,14663
47.484100,14735
47.565567,14807
47.644428,14879
47.720747,14951
47.801597,15023
47.883866,15095
47.959567,15167
48.036804,15239
48.116273,15311
48.195120,15383
48.276457,15455
48.356044,15527
48.430587,15599
48.510684,15671
48.592727,15743
48.668936,15815
48.746558,15887
48.826765,15959
48.905608,16031
48.988034,16103
49.068742,16175
49.144821,16247
49.225273,16319
49.307432,16391
49.388968,16463
49.468137,16535
49.546046,16607
49.625036,16679
49.707606,16751
49.791004,16823
49.868285,16895
49.937027,16967
50.017637,17039
50.106252,17111
50.189444,17183
50.268882,17255
50.353811,17327
50.434899,17399
50.517948,17471
50.598136,17543
50.675562,17615
50.755819,17687
50.836211,17759
50.918265,17831
51.002492,17903
51.081118,17975
51.159342,18047
51.239734,18119
51.323835,18191
51.402978,18263
51.483675,18335
51.562489,18407
51.642311,18479
51.726478,18551
51.806848,18623
51.883972,18695
51.962824,18767
52.045085,18839
52.126838,18911
52.208344,18983
52.286095,19055
52.364656,19127
52.450169,19199
52.534769,19271
52.611962,19343
52.690306,19415
52.771361,19487
52.854630,19559
52.940144,19631
53.025670,19703
53.108098,19775
53.187013,19847
53.268927,19919
53.355338,19991
53.440040,20063
53.522676,20135
53.599739,20207
53.679732,20279
53.767294,20351
53.850118,20423
53.935554,20495
54.014607,20567
54.095497,20639
54.176447,20711
54.259441,20783
54.342089,20855
54.422978,20927
54.501482,20999
54.581110,21071
54.662985,21143
54.746058,21215
54.823383,21287
54.907333,21359
54.987999,21431
55.069030,21503
55.154435,21575
55.237492,21647
55.314948,21719
55.398943,21791
55.480871,21863
55.562384,21935
55.647209,22007
55.727085,22079
55.805820,22151
55.887526,22223
55.973763,22295
56.055694,22367
56.134768,22439
56.214457,22511
56.295655,22583
56.379624,22655
56.462850,22727
56.541624,22799
56.621471,22871
56.703138,22943
56.790601,23015
56.876476,23087
56.960253,23159
57.038158,23231
57.120326,23303
57.201613,23375
57.288193,23447
57.374573,23519
57.456109,23591
57.533833,23663
57.616681,23735
57.699296,23807
57.779841,23879
57.863804,23951
57.943132,24023
58.026213,24095
58.111476,24167
58.194920,24239
58.276754,24311
58.359802,24383
58.440989,24455
58.524681,24527
58.609185,24599
58.693370,24671
58.771886,24743
58.852035,24815
58.933945,24887
59.015606,24959
59.100960,25031
59.185473,25103
59.263445,25175
59.342671,25247
59.428821,25319
59.512441,25391
