elapsed_time,tokens_generated
0.313051,0
0.314696,0
0.316315,0
0.317886,0
0.319366,0
0.320890,0
0.322406,0
0.323830,0
0.325344,0
0.326819,0
0.328317,0
0.329873,0
0.331384,0
0.332796,0
0.334286,0
0.335803,0
0.337256,0
0.338733,0
0.340290,0
0.341736,0
0.343248,0
0.344704,0
0.346166,0
0.347685,0
0.349161,0
0.350594,0
0.352124,0
0.353663,0
0.355122,0
0.356676,0
0.358211,0
0.359679,0
0.361198,0
0.362770,0
0.364272,0
0.365775,0
0.367256,0
0.368696,0
0.370261,0
0.371752,0
0.373206,0
0.374753,0
0.377312,0
0.379600,0
0.381310,0
0.382816,0
0.384288,0
0.385792,0
0.387292,0
0.388714,0
0.390500,0
0.391997,0
0.393455,0
0.395046,0
0.396553,0
0.398002,0
0.399545,0
0.401091,0
0.402557,0
0.404270,0
0.405761,0
0.407227,0
0.408813,0
0.410378,0
0.411838,0
0.413431,0
0.414892,0
0.416349,0
0.417869,0
0.419398,0
0.420841,0
0.422392,0
0.423896,0
0.425349,0
0.426876,0
0.428372,0
0.429799,0
0.431333,0
0.432886,0
0.434351,0
0.435924,0
0.437463,0
0.438921,0
0.440466,0
0.441964,0
0.443415,0
0.444972,0
0.446501,0
0.447987,0
0.449559,0
0.451059,0
0.452500,0
0.454060,0
0.455573,0
0.457039,0
0.458628,0
0.460215,0
0.461716,0
0.470989,0
0.472652,0
0.474201,0
0.475805,0
0.477322,0
0.478866,0
0.480505,0
0.482033,0
0.483528,0
0.485101,0
0.486628,0
0.488104,0
0.489669,0
0.491181,0
0.492673,0
0.494285,0
0.495764,0
0.497251,0
0.498786,0
0.500308,0
0.501746,0
0.643978,1
0.733832,2
0.805607,3
0.861406,4
0.930942,5
1.006784,6
1.125654,8
1.198450,10
1.266794,12
1.332519,14
1.406105,16
1.478768,18
1.553099,20
1.758704,23
1.831415,26
1.908513,29
1.964356,32
2.035235,35
2.158000,39
2.229508,43
2.300886,47
2.356267,51
2.428494,55
2.499057,59
2.571901,63
2.733819,68
2.809248,73
2.878588,78
2.944918,83
3.018267,88
3.152646,94
3.225439,100
3.294229,106
3.362051,112
3.435079,118
3.504360,124
3.640444,131
3.710499,138
3.777314,145
3.839054,152
3.907673,159
3.977115,166
4.048917,173
4.354088,181
4.432093,189
4.501650,197
4.637730,206
4.709108,215
4.782842,224
4.842044,233
4.914834,242
4.989791,251
5.061924,260
5.252861,270
5.324476,280
5.395969,290
5.462705,300
5.540355,310
5.706969,321
5.784982,332
5.861360,343
5.918508,354
5.993916,365
6.069174,376
6.205266,388
6.282850,400
6.358784,412
6.415632,424
6.486889,436
6.560669,448
6.681776,461
6.755948,474
6.826894,487
6.896225,500
6.971967,513
7.047696,526
7.170760,540
7.241387,554
7.313262,568
7.376126,582
7.454441,596
7.527465,610
7.675096,625
7.751627,640
7.822347,655
7.888090,670
7.966499,685
8.036693,700
8.308519,716
8.387875,732
8.462082,748
8.519235,764
8.637332,781
8.711069,798
8.784333,815
8.840689,832
8.913051,849
8.986428,866
9.058135,883
9.192239,901
9.263347,919
9.332672,937
9.397000,955
9.470011,973
9.544572,991
9.742549,1010
9.814122,1029
9.885901,1048
9.941635,1067
10.015593,1086
10.138257,1106
10.210597,1126
10.284482,1146
10.341230,1166
10.414438,1186
10.487714,1206
10.562581,1226
10.928128,1247
11.004125,1268
11.143877,1290
11.201895,1312
11.271902,1334
11.345312,1356
11.419429,1378
11.492841,1400
11.568053,1422
11.734373,1445
11.809258,1468
11.877296,1491
11.947745,1514
12.024730,1537
12.294106,1561
12.363090,1585
12.435938,1609
12.494258,1633
12.569800,1657
12.704964,1682
12.780823,1707
12.852821,1732
12.912174,1757
12.984219,1782
13.056713,1807
13.191592,1833
13.266516,1859
13.340603,1885
13.398925,1911
13.474261,1937
13.548210,1963
13.734861,1990
13.811056,2017
13.882471,2044
13.949639,2071
14.026166,2098
14.162593,2126
14.237520,2154
14.308436,2182
14.367427,2210
14.441776,2238
14.514695,2266
14.696544,2295
14.769490,2324
14.842515,2353
14.900846,2382
14.973104,2411
15.048988,2440
15.189214,2470
15.263057,2500
15.335144,2530
15.392844,2560
15.466417,2590
15.543457,2620
15.681069,2651
15.756110,2682
15.828461,2713
15.886413,2744
15.961059,2775
16.035708,2806
16.317987,2838
16.391861,2870
16.464437,2902
16.521767,2934
16.658600,2967
16.731396,3000
16.805342,3033
16.872353,3066
16.953949,3099
17.025391,3132
17.162540,3166
17.235212,3200
17.309860,3234
17.371325,3268
17.452494,3302
17.524744,3336
17.669137,3371
17.743248,3406
17.816229,3441
17.880346,3476
17.955115,3511
18.027223,3546
18.172890,3582
18.246025,3618
18.320071,3654
18.386046,3690
18.462123,3726
18.533695,3762
18.911419,3799
18.957193,3836
18.998947,3873
19.125858,3911
19.187737,3949
19.244604,3987
19.291862,4025
19.344334,4063
19.393074,4101
19.436829,4139
19.490677,4177
19.538788,4215
19.662302,4254
19.711169,4293
19.753151,4332
19.800611,4371
19.849281,4410
19.893402,4449
19.947080,4488
20.006614,4527
20.179117,4567
20.224471,4607
20.265628,4647
20.305928,4687
20.357029,4727
20.400847,4767
20.448851,4807
20.501182,4847
20.543524,4887
20.596968,4927
20.646138,4967
20.698756,5007
20.740905,5047
20.794897,5087
20.834991,5127
20.878913,5167
20.918118,5207
20.959191,5247
21.004588,5287
21.046409,5327
21.091241,5367
21.130577,5407
21.173460,5447
21.220604,5487
21.267627,5527
21.322636,5567
21.382881,5607
21.432748,5647
21.482107,5687
21.530768,5727
21.575603,5767
21.617978,5807
21.657462,5847
21.706667,5887
21.752489,5927
21.794174,5967
21.833169,6007
21.876122,6047
21.923771,6087
21.969021,6127
22.022987,6167
22.062637,6207
22.106789,6247
22.155185,6287
